location_address1,location_address2,location_city,location_convocationLabel,location_fullAddress,location_giveBlood,location_givePlasma,location_givePlatelet,location_groupCode,location_id,location_latitude,location_longitude,location_name,location_phone,location_postCode,location_regionCode,location_regionName,location_samplingLocationCode,location_horaires,location_infos,location_metro,location_bus,location_tram,location_parking,location_debutInfos,location_finInfos,collection_date,collection_groupCode,collection_id,collection_isPublic,collection_isPublishable,collection_lpCode,collection_morningEndTime,collection_morningStartTime,collection_afternoonEndTime,collection_afternoonStartTime,collection_regionCode,collection_nature
,15 RUE DE LA BUCHERIE,75005 PARIS,LE PHILANTHRO-LAB,15 RUE DE LA BUCHERIE 75005 PARIS,True,False,False,I09988,5040125,48.851783752441406,2.348262310028076,LE PHILANTHRO-LAB,,,019,EFS Ile de France,1,,,,,,,,,2023-06-20,I09988,811705,True,,1,,,19:00:00,13:00:00,019,
PANTHEON,PLACE DU PANTHEON,75005 PARIS,PANTHEON,PANTHEON PLACE DU PANTHEON 75005 PARIS,True,False,False,I01558,5041916,48.846221923828125,2.3464138507843018,PANTHEON,,,019,EFS Ile de France,1,,,,,,,,,2023-06-14,I01558,873949,True,,1,,,19:00:00,10:00:00,019,
,5 RUE DE LOBAU,75001 PARIS,HOTEL DE VILLE,5 RUE DE LOBAU 75001 PARIS,True,False,False,I00188,5035340,48.8565673828125,2.3532066345214844,SALLE DES FETES,,,019,EFS Ile de France,3,,,,,,,,,2023-06-02,I00188,873935,True,,3,,,19:00:00,13:00:00,019,
,5 RUE DE LOBAU,75001 PARIS,HOTEL DE VILLE,5 RUE DE LOBAU 75001 PARIS,True,False,False,I00188,5035340,48.8565673828125,2.3532066345214844,SALLE DES FETES,,,019,EFS Ile de France,3,,,,,,,,,2023-06-03,I00188,873936,True,,3,,,19:00:00,13:00:00,019,
,5 RUE DE LOBAU,75001 PARIS,HOTEL DE VILLE,5 RUE DE LOBAU 75001 PARIS,True,False,False,I00188,5035340,48.8565673828125,2.3532066345214844,SALLE DES FETES,,,019,EFS Ile de France,3,,,,,,,,,2023-06-04,I00188,873937,True,,3,,,19:00:00,13:00:00,019,
PAVILLON DE L'ARSENAL,21 Boulevard Morland ,75004 PARIS,PAVILLON DE L'ARSENAL,PAVILLON DE L'ARSENAL 21 Boulevard Morland  75004 PARIS,True,False,False,I07857,5042370,48.85036849975586,2.361713409423828,PARIS4-PAVILLON DE L'ARSENAL,,,019,EFS Ile de France,1,,,,,,,,,2023-06-16,I07857,884440,True,,1,,,19:00:00,13:00:00,019,
SALLE RENE COTY,15 RUE DE VAUGIRARD,75006 PARIS,PALAIS DU LUXEMBOURG,SALLE RENE COTY 15 RUE DE VAUGIRARD 75006 PARIS,True,False,False,I00017,5036590,48.849185943603516,2.337329149246216,SALLE RENE COTY,,,019,EFS Ile de France,2,,,,,,,,,2023-06-29,I00017,788478,True,,2,13:30:00,09:00:00,,,019,
STATION I + STATION H,54 QUAI DE LA RAPEE,75012 PARIS,MAISON DE LA RATP,STATION I + STATION H 54 QUAI DE LA RAPEE 75012 PARIS,True,False,False,I01341,5042162,48.849735260009766,2.3663995265960693,STATION I + STATION H,,,019,EFS Ile de France,4,,,,,,,,,2023-06-01,I01341,802853,True,,4,13:30:00,10:30:00,16:30:00,14:30:00,019,
L'ATELIER RDC VILLIOT 1,26 QUAI DE LA RAPEE,75012 PARIS,CREDIT AGRICOLE,L'ATELIER RDC VILLIOT 1 26 QUAI DE LA RAPEE 75012 PARIS,True,False,False,I07456,5038913,48.840763092041016,2.3744397163391113,L'ATELIER RDC VILLIOT 1,,,019,EFS Ile de France,2,,,,,,,,,2023-06-12,I07456,878471,True,,2,12:30:00,10:00:00,16:00:00,13:30:00,019,
Salle des Fêtes au 2ème étage,9 Quai Anatole France,75007 PARIS,MUSEE D'ORSAY,Salle des Fêtes au 2ème étage 9 Quai Anatole France 75007 PARIS,True,False,False,I09982,5039854,48.86030197143555,2.3253495693206787,MUSEE D'ORSAY,,,019,EFS Ile de France,1,,,,,,,,,2023-06-08,I09982,808968,True,,1,,,17:00:00,12:00:00,019,
"""Les Tuileries""",34 Rue des Tuileries,67190 Still,Salle des Fêtes,"""Les Tuileries"" 34 Rue des Tuileries 67190 Still",True,False,False,B67480,5041671,48.86349105834961,2.3274943828582764,STILL - Tuileries,,,020,EFS Grand Est,1,,,,,,,,,2023-05-22,B67480,798883,True,,1,,,20:00:00,17:00:00,020,
C.A.S.C. CENTRE CULTUREL,139 RUE DE BERCY,75012 PARIS,MINISTERE DE L'ECONOMIE ET DES FINANCES,C.A.S.C. CENTRE CULTUREL 139 RUE DE BERCY 75012 PARIS,True,False,False,I00028,5035696,48.841094970703125,2.3778440952301025,C.A.S.C. Centre culturel,,,019,EFS Ile de France,86,,,,,,,,,2023-07-04,I00028,801335,True,,86,13:30:00,09:00:00,,,019,
SALLE SOLIDARITE RDC,62-68 Rue Jeanne d'Arc ,75013 PARIS,Vyv SOLIDAIRES,SALLE SOLIDARITE RDC 62-68 Rue Jeanne d'Arc  75013 PARIS,True,False,False,I07844,5042102,48.831844329833984,2.3659884929656982,PARIS13-Vyv SOLIDAIRES,,,019,EFS Ile de France,1,,,,,,,,,2023-06-12,I07844,879444,True,,1,12:30:00,10:00:00,16:00:00,13:30:00,019,
SALLE DES FETES,12 PLACE LEON BLUM,75011 PARIS,MAIRIE 11 EME,SALLE DES FETES 12 PLACE LEON BLUM 75011 PARIS,True,False,False,I00190,5031950,48.85853958129883,2.37939715385437,SALLE DES FETES,,,019,EFS Ile de France,2,,,,,,,,,2023-07-27,I00190,805897,True,,2,,,18:00:00,13:00:00,019,
AUDITORIUM LAENNEC,149 RUE DE SEVRES,75015 PARIS,HOPITAL NECKER,AUDITORIUM LAENNEC 149 RUE DE SEVRES 75015 PARIS,True,False,False,I07546,5032036,48.84648132324219,2.3156213760375977,HOPTITAL NECKER,,,019,EFS Ile de France,1,,,,,,,,,2023-08-07,I07546,809085,True,,1,,,17:00:00,12:00:00,019,
AUDITORIUM LAENNEC,149 RUE DE SEVRES,75015 PARIS,HOPITAL NECKER,AUDITORIUM LAENNEC 149 RUE DE SEVRES 75015 PARIS,True,False,False,I07546,5032036,48.84648132324219,2.3156213760375977,HOPTITAL NECKER,,,019,EFS Ile de France,1,,,,,,,,,2023-08-08,I07546,809081,True,,1,,,17:00:00,12:00:00,019,
SALLE DES FETES (2ème étage),12 RUE PIERRE CASTAGNOU,75014 PARIS,ANNEXE MAIRIE 14,SALLE DES FETES (2ème étage) 12 RUE PIERRE CASTAGNOU 75014 PARIS,True,False,False,I00203,5035181,48.83280563354492,2.325981855392456,ANNEXE MAIRIE -SALLE DES FETES,,,019,EFS Ile de France,2,,,,,,,,,2023-06-08,I00203,809083,True,,2,,,18:00:00,13:00:00,019,
